seed,experiment,condition,x,BS,H_norm,F_norm,M_norm
7803,persistence,unrelated_delay,100,0.0014586448669433594,8.436929702758789,1.374025583267212,1.1594611406326294
7803,persistence,unrelated_delay,250,0.00036144256591796875,15.724664688110352,1.3684239387512207,1.179735541343689
7803,persistence,unrelated_delay,500,6.204843521118164e-05,27.234933853149414,1.3772262334823608,1.1783063411712646
7803,persistence,unrelated_delay,1000,-8.344650268554688e-05,49.60130310058594,1.3716360330581665,1.1702648401260376
7803,persistence,unrelated_delay,2000,-4.023313522338867e-05,92.56099700927734,1.3966118097305298,1.1655714511871338
7803,persistence,unrelated_delay,5000,-2.0623207092285156e-05,217.14883422851562,1.396437406539917,1.170302391052246
7803,revision,opposing,0,0.005232691764831543,3.689819097518921,0.5479257106781006,1.3005366325378418
7803,revision,opposing,1,0.011159747838973999,3.684854745864868,0.5458899140357971,1.3082045316696167
7803,revision,opposing,2,0.00867357850074768,3.7020809650421143,0.5313706398010254,1.31589674949646
7803,revision,opposing,4,0.009720146656036377,3.731689691543579,0.5519595742225647,1.3281803131103516
7803,revision,opposing,8,0.012075960636138916,3.7534146308898926,0.5456714034080505,1.3518033027648926
7803,revision,opposing,16,-0.006674528121948242,3.7775282859802246,0.5424717664718628,1.3918532133102417
7803,revision,opposing,32,-0.018854916095733643,4.0835371017456055,0.5131487846374512,1.4342132806777954
7803,revision,opposing,64,-0.009850621223449707,4.286823272705078,0.5378187298774719,1.4771885871887207
7803,revision,opposing,128,-0.0033199191093444824,4.381255626678467,0.4733136296272278,1.5284384489059448
7804,formation,p=0.55,0,0.0,0.2056356817483902,0.0,0.0
7804,formation,p=0.55,1,0.0033524036407470703,1.3913500308990479,0.5002620816230774,0.15307369828224182
7804,formation,p=0.55,2,0.020086467266082764,1.4441823959350586,0.5195414423942566,0.47730696201324463
7804,formation,p=0.55,4,0.07794854044914246,1.5994315147399902,0.5674456357955933,0.7696172595024109
7804,formation,p=0.55,8,0.06078338623046875,1.6892439126968384,0.5458171367645264,0.9712860584259033
7804,formation,p=0.55,16,0.04270651936531067,1.7417207956314087,0.5045748949050903,1.0926815271377563
7804,formation,p=0.55,32,0.051978737115859985,1.7541825771331787,0.4398588240146637,1.198033094406128
7804,formation,p=0.55,64,0.07460391521453857,1.7406294345855713,0.38276293873786926,1.3082365989685059
7804,formation,p=0.60,0,0.0,0.2056356817483902,0.0,0.0
7804,formation,p=0.60,1,0.0038831233978271484,1.3879870176315308,0.5114315748214722,0.14131879806518555
7804,formation,p=0.60,2,0.024508923292160034,1.4316489696502686,0.527178168296814,0.46220654249191284
7804,formation,p=0.60,4,0.051650822162628174,1.5853192806243896,0.5737996697425842,0.750179648399353
7804,formation,p=0.60,8,0.09343841671943665,1.694003939628601,0.5626223087310791,0.9661036729812622
7804,formation,p=0.60,16,0.20996123552322388,1.7459074258804321,0.5278555154800415,1.0884056091308594
7804,formation,p=0.60,32,0.34993958473205566,1.7588800191879272,0.44460394978523254,1.1962295770645142
7804,formation,p=0.60,64,0.39792734384536743,1.7784746885299683,0.38994723558425903,1.3231754302978516
7804,formation,p=0.65,0,0.0,0.2056356817483902,0.0,0.0
7804,formation,p=0.65,1,0.026610493659973145,1.3904097080230713,0.5014933347702026,0.15217599272727966
7804,formation,p=0.65,2,0.09986931085586548,1.4340550899505615,0.5267682075500488,0.47681745886802673
7804,formation,p=0.65,4,0.15098994970321655,1.6165415048599243,0.5709753632545471,0.7753268480300903
7804,formation,p=0.65,8,0.261640340089798,1.727260708808899,0.560082733631134,0.9780793190002441
7804,formation,p=0.65,16,0.3237973749637604,1.7653305530548096,0.5065721273422241,1.105101466178894
7804,formation,p=0.65,32,0.42103442549705505,1.7972650527954102,0.44533151388168335,1.2257188558578491
7804,formation,p=0.65,64,0.4521644413471222,1.7742525339126587,0.401875764131546,1.357906460762024
7804,formation,p=0.70,0,0.0,0.2056356817483902,0.0,0.0
7804,formation,p=0.70,1,0.011444807052612305,1.388931155204773,0.5051796436309814,0.1477843075990677
7804,formation,p=0.70,2,0.020708471536636353,1.4525947570800781,0.5274803638458252,0.47096359729766846
7804,formation,p=0.70,4,0.07929059863090515,1.5900400876998901,0.563941478729248,0.7633971571922302
7804,formation,p=0.70,8,0.15383261442184448,1.7423040866851807,0.555896520614624,0.9712454676628113
7804,formation,p=0.70,16,0.31459978222846985,1.7802218198776245,0.5107870697975159,1.109160304069519
7804,formation,p=0.70,32,0.40097203850746155,1.8030295372009277,0.4442448616027832,1.232007384300232
7804,formation,p=0.70,64,0.46290120482444763,1.8234564065933228,0.397502601146698,1.364740014076233
7804,persistence,unrelated_delay,0,0.4450940787792206,1.786651611328125,0.4275960922241211,1.2376075983047485
7804,persistence,unrelated_delay,10,0.4939500689506531,1.7237021923065186,1.2805030345916748,1.2884156703948975
7804,persistence,unrelated_delay,50,0.37541985511779785,1.4906327724456787,1.315346360206604,1.4402589797973633
7804,persistence,unrelated_delay,100,0.3026718497276306,1.3132644891738892,1.198161244392395,1.610830545425415
7804,persistence,unrelated_delay,250,0.1601739227771759,1.1243184804916382,0.9807291030883789,1.931620717048645
7804,persistence,unrelated_delay,500,0.09320482611656189,1.1141149997711182,0.8060033917427063,2.12727427482605
7804,persistence,unrelated_delay,1000,0.09873196482658386,1.1317737102508545,0.680970311164856,2.231605052947998
7804,persistence,unrelated_delay,2000,0.0952368676662445,1.1850471496582031,0.6171839237213135,2.2603025436401367
7804,persistence,unrelated_delay,5000,0.04989829659461975,1.1761761903762817,0.5893410444259644,2.2583296298980713
7804,revision,opposing,0,0.4450940787792206,1.786651611328125,0.4275960922241211,1.2376075983047485
7804,revision,opposing,1,0.42866790294647217,1.791664958000183,0.43689072132110596,1.2407703399658203
7804,revision,opposing,2,0.42516887187957764,1.7760136127471924,0.4385162889957428,1.2420374155044556
7804,revision,opposing,4,0.38818320631980896,1.7417914867401123,0.44579631090164185,1.2451395988464355
7804,revision,opposing,8,0.3641909956932068,1.7384121417999268,0.42658141255378723,1.2506935596466064
7804,revision,opposing,16,0.30098265409469604,1.756225347518921,0.4075993001461029,1.2692511081695557
7804,revision,opposing,32,0.1911303699016571,1.74676513671875,0.3747645914554596,1.3101587295532227
